Section;G [kg/m];h [mm];b [mm];tw [mm];tf [mm];r [mm];hi [mm];d [mm];A [cm2];AL [m2/m];AG [ m2/t];Iy [cm4 ];Wel.y [cm3];Wpl.y [cm3];iy [cm];Avz [cm2];Iz [cm4 ];Wel.z [cm3];Wpl.z [cm3]; iz [cm];Ss [cm];It [cm4 ];Iw [10^3 cm6]
HE 120 B;26.7;120.0;120.0;6.5;11.0;12;98.0;74.0;34.0;0.686;25.7;864.3;144;165.2;5;10.96;317.5;52.92;80.96;3;4.2;13.93;9.409
HE 180 AA;28.7;167.0;180.0;5.0;7.5;15;152.0;122.0;36.5;1.018;35.5;1966;235.5;258.2;7.3;12.15;729.9;81.1;123.5;4.4;3.7;8.314;46.36
HE 160 A;30.4;152.0;160.0;6.0;9.0;15;134.0;104.0;38.8;0.906;29.77;1672;220.1;245.1;6.5;13.21;615.5;76.94;117.6;3.9;4.1;12.09;31.4
HE 100 C;30.9;110.0;103.0;9.0;15.0;12;80.0;56.0;39.3;0.593;19.2;758.6;137.9;165.7;4.3;13.38;274.3;53.27;82.07;2.6;5.3;29.1;6.163
HE 140 B;33.7;140.0;140.0;7.0;12.0;12;116.0;92.0;43.0;0.805;23.87;1509;215.6;245.4;5.9;13.07;549.6;78.52;119.7;3.5;4.5;20.15;22.47
HE 200 AA;34.6;186.0;200.0;5.5;8.0;18;170.0;134.0;44.1;1.130;32.62;2944;316.5;347;8.1;15.45;1068;106.8;163.1;4.9;4.2;12.52;84.49
HE 180 A;35.5;171.0;180.0;6.0;9.5;15;152.0;122.0;45.3;1.024;28.83;2510;293.6;324.8;7.4;14.47;924.6;102.7;156.4;4.5;4.2;14.88;60.21
HE 120 C;39.2;130.0;123.0;9.5;16.0;12;98.0;74.0;49.9;0.712;18.17;1388;213.5;252.8;5.2;15.9;497.6;80.92;124.1;3.1;5.5;40.72;16.12
HE 220 AA;40.4;205.0;220.0;6.0;8.5;18;188.0;152.0;51.5;1.247;30.87;4170;406.8;445.4;9;17.63;1510;137.3;209.3;5.4;4.4;15.54;145.6
HE 100 M;41.8;120.0;106.0;12.0;20.0;12;80.0;56.0;53.2;0.619;14.81;1142;190.4;235.8;4.6;18.03;399.1;75.31;116.3;2.7;6.6;67.23;9.925
HE 200 A;42.3;190.0;200.0;6.5;10.0;18;170.0;134.0;53.8;1.136;26.88;3692;388.6;429.4;8.2;18.08;1335;133.5;203.8;4.9;4.7;21.04;108
HE 160 B;42.6;160.0;160.0;8.0;13.0;15;134.0;104.0;54.3;0.918;21.56;2491;311.4;353.9;6.7;17.59;889.2;111.1;169.9;4;5.1;31.27;47.94
HE 240 AA;47.4;224.0;240.0;6.5;9.0;21;206.0;164.0;60.4;1.359;28.67;5835;520.9;570.5;9.8;21.54;2077;173;264.3;5.8;4.9;22.14;239.6
HE 140 C;48.2;150.0;143.0;10.0;17.0;12;116.0;92.0;61.5;0.831;17.23;2329;310.6;363.8;6.1;18.61;830.2;116.1;177.6;3.6;5.8;55.37;36.63
HE 220 A;50.5;210.0;220.0;7.0;11.0;18;188.0;152.0;64.3;1.255;24.85;5409;515.2;568.4;9.1;20.67;1954;177.6;270.5;5.5;5;28.61;193.2
HE 180 B;51.2;180.0;180.0;8.5;14.0;15;152.0;122.0;65.3;1.037;20.25;3831;425.6;481.4;7.6;20.24;1362;151.4;231;4.5;5.4;42.21;93.74
HE 120 M;52.1;140.0;126.0;12.5;21.0;12;98.0;74.0;66.4;0.738;14.16;2017;288.2;350.6;5.5;21.15;702.7;111.5;171.6;3.2;6.8;90.51;24.78
HE 260 AA;54.1;244.0;260.0;6.5;9.5;24;225.0;177.0;69.0;1.474;27.23;7980;654.1;714.4;10.7;24.74;2788;214.4;327.7;6.3;5.3;30.09;382.5
HE 160 C;59.2;170.0;163.0;11.0;18.0;15;134.0;104.0;75.4;0.944;15.96;3704;435.7;507.6;7;24.05;1302;159.8;244.8;4.1;6.4;78.69;75.04
HE 240 A;60.3;230.0;240.0;7.5;12.0;21;206.0;164.0;76.8;1.369;22.7;7763;675;744.6;10;25.17;2768;230.7;351.6;6;5.6;42.14;328.4
HE 280 AA;61.2;264.0;280.0;7.0;10.0;24;244.0;196.0;78.0;1.593;26.01;10550;799.8;873;11.6;27.52;3664;261.7;399.3;6.8;5.5;35.49;590.1
HE 200 B;61.3;200.0;200.0;9.0;15.0;18;170.0;134.0;78.1;1.151;18.78;5696;569.6;642.5;8.5;24.83;2003;200.3;305.8;5;6;59.7;171.1
HE 140 M;63.2;160.0;146.0;13.0;22.0;12;116.0;92.0;80.6;0.857;13.55;3291;411.4;493.8;6.3;24.45;1144;156.7;240.5;3.7;7.1;118.6;54.32
HE 260 A;68.2;250.0;260.0;7.5;12.5;24;225.0;177.0;86.8;1.484;21.77;10450;836.3;919.7;10.9;28.75;3667;282.1;430.1;6.4;6;54.19;516.3
HE 300 AA;69.8;283.0;300.0;7.5;10.5;27;262.0;208.0;88.9;1.705;24.43;13800;975.5;1065;12.4;32.36;4733;315.5;482.3;7.2;6;47.8;877.1
HE 180 C;69.8;190.0;183.0;11.5;19.0;15;152.0;122.0;89.0;1.063;15.22;5543;583.4;675;7.8;27.29;1944;212.4;324.9;4.6;6.7;101.4;141.8
HE 220 B;71.5;220.0;220.0;9.5;16.0;18;188.0;152.0;91.0;1.270;17.77;8090;735.5;827;9.4;27.92;2843;258.4;393.8;5.5;6.2;77.02;295.4
HE 320 AA;74.2;301.0;300.0;8.0;11.0;27;279.0;225.0;94.6;1.740;23.44;16440;1092;1196;13.1;35.39;4959;330.6;505.7;7.2;6.1;53.58;1040
HE 160 M;76.2;180.0;166.0;14.0;23.0;15;134.0;104.0;97.1;0.970;12.73;5098;566.4;674.5;7.2;30.81;1758;211.8;325.4;4.2;7.7;160.5;108
HE 280 A;76.4;270.0;280.0;8.0;13.0;24;244.0;196.0;97.3;1.603;20.99;13670;1012;1112;11.8;31.74;4762;340.1;518.1;6.9;6.2;63.45;785.3
HE 340 AA;78.9;320.0;300.0;8.5;11.5;27;297.0;243.0;100.5;1.777;22.52;19550;1222;1340;13.9;38.69;5184;345.6;529.2;7.1;6.3;60.01;1231
HE 200 C;81.9;210.0;203.0;12.0;20.0;18;170.0;134.0;104.4;1.177;14.36;8029;764.7;880.6;8.7;32.78;2794;275.2;420.9;5.1;7.3;134.7;251.6
HE 240 B;83.2;240.0;240.0;10.0;17.0;21;206.0;164.0;106.0;1.384;16.63;11250;938.2;1053;10.3;33.22;3922;326.8;498.4;6;6.8;103.8;486.9
HE 360 AA;83.7;339.0;300.0;9.0;12.0;27;315.0;261.0;106.6;1.814;21.68;23030;1359;1495;14.7;42.16;5410;360.6;552.9;7.1;6.4;67.13;1443
HE 300 A;88.3;290.0;300.0;8.5;14.0;27;262.0;208.0;112.5;1.717;19.44;18260;1259;1383;12.7;37.27;6309;420.6;641.1;7.4;6.8;87.76;1199
HE 180 M;88.9;200.0;186.0;14.5;24.0;15;152.0;122.0;113.3;1.089;12.25;7483;748.3;883.4;8.1;34.65;2580;277.4;425.1;4.7;8;201.1;199.3
HE 400 AA;92.4;378.0;300.0;9.5;13.0;27;352.0;298.0;117.7;1.891;20.47;31250;1653;1824;16.2;47.95;5861;390.7;599.6;7;6.7;81.31;1948
HE 260 B;93.0;260.0;260.0;10.0;17.5;24;225.0;177.0;118.4;1.499;16.12;14910;1147;1282;11.2;37.59;5134;394.9;602.2;6.5;7.3;126.6;753.6
HE 220 C;94.1;230.0;223.0;12.5;21.0;18;188.0;152.0;119.9;1.296;13.76;11170;972.1;1114;9.6;36.46;3887;348.6;532.3;5.6;7.5;167.8;423.8
HE 320 A;97.6;310.0;300.0;9.0;15.5;27;279.0;225.0;124.4;1.756;17.99;22920;1479;1628;13.5;41.13;6985;465.6;709.7;7.4;7.1;111.8;1512
HE 450 AA;99.7;425.0;300.0;10.0;13.5;27;398.0;344.0;127.1;1.984;19.89;41880;1971;2183;18.1;54.69;6087;405.8;624.3;6.9;6.8;91.39;2571
HE 280 B;103.0;280.0;280.0;10.5;18.0;24;244.0;196.0;131.4;1.618;15.69;19270;1376;1534;12.1;41.09;6594;471;717.5;7;7.4;146;1130
HE 200 M;103.0;220.0;206.0;15.0;25.0;18;170.0;134.0;131.3;1.203;11.67;10640;967.4;1135;9;41.03;3651;354.4;543.2;5.2;8.6;257.5;346.2
HE 340 A;105.0;330.0;300.0;9.5;16.5;27;297.0;243.0;133.5;1.795;17.13;27690;1678;1850;14.4;44.95;7435;495.7;755.9;7.4;7.4;131.4;1824
HE 500 AA;107.0;472.0;300.0;10.5;14.0;27;444.0;390.0;136.9;2.077;19.33;54640;2315;2576;19.9;61.9;6313;420.9;649.2;6.7;7;102.6;3303
HE 360 A;112.0;350.0;300.0;10.0;17.5;27;315.0;261.0;142.8;1.834;16.37;33080;1890;2088;15.2;48.95;7886;525.7;802.2;7.4;7.6;153.3;2176
HE 300 B;117.0;300.0;300.0;11.0;19.0;27;262.0;208.0;149.1;1.732;14.8;25160;1677;1868;12.9;47.42;8562;570.8;870.1;7.5;8;189.1;1687
HE 220 M;117.0;240.0;226.0;15.5;26.0;18;188.0;152.0;149.4;1.322;11.27;14600;1217;1419;9.8;45.31;5012;443.5;678.5;5.7;8.8;313;572.6
HE 240 C;119.0;255.0;244.0;14.0;24.5;21;206.0;164.0;152.2;1.422;11.9;17320;1358;1563;10.6;46.34;5942;487;743.8;6.2;8.7;289.4;787.8
HE 550 AA;120.0;522.0;300.0;11.5;15.0;27;492.0;438.0;152.8;2.175;18.13;72870;2792;3127;21.8;72.66;6766;451.1;698.6;6.6;7.3;126.6;4337
HE 400 A;125.0;390.0;300.0;11.0;19.0;27;352.0;298.0;159.0;1.912;15.32;45060;2311;2561;16.8;57.32;8563;570.9;872.8;7.3;8;193.1;2942
HE 320 B;127.0;320.0;300.0;11.5;20.5;27;279.0;225.0;161.3;1.771;13.98;30820;1926;2149;13.8;51.77;9238;615.9;939;7.5;8.4;230.4;2068
HE 600 AA;129.0;571.0;300.0;12.0;15.5;27;540.0;486.0;164.1;2.272;17.64;91870;3217;3623;23.6;81.28;6993;466.2;724.4;6.5;7.4;141.7;5380
HE 260 C;132.0;275.0;264.0;14.0;25.0;24;225.0;177.0;168.4;1.537;11.62;22590;1642;1880;11.5;51.94;7680;581.8;888.3;6.7;9.2;339.5;1197
HE 340 B;134.0;340.0;300.0;12.0;21.5;27;297.0;243.0;170.9;1.810;13.49;36650;2156;2408;14.6;56.08;9689;645.9;985.7;7.5;8.6;262.8;2453
HE 650 AA;138.0;620.0;300.0;12.5;16.0;27;588.0;534.0;175.8;2.369;17.17;113940;3675;4159;25.4;90.39;7220;481.3;750.6;6.4;7.6;158.4;6566
HE 450 A;140.0;440.0;300.0;11.5;21.0;27;398.0;344.0;178.0;2.011;14.39;63720;2896;3215;18.9;65.78;9465;631;965.5;7.2;8.5;250.1;4147
HE 360 B;142.0;360.0;300.0;12.5;22.5;27;315.0;261.0;180.6;1.849;13.04;43190;2399;2682;15.4;60.59;10140;676;1032;7.4;8.9;298.3;2883
HE 280 C;145.0;295.0;284.0;14.5;25.5;24;244.0;196.0;185.2;1.656;11.39;28800;1953;2225;12.4;56.26;9750;686.6;1047;7.2;9.3;384.8;1767
HE 700 AA;150.0;670.0;300.0;13.0;17.0;27;636.0;582.0;190.9;2.468;16.47;142720;4260;4840;27.3;100.3;7673;511.5;799.7;6.3;7.8;186.3;8155
HE 500 A;155.0;490.0;300.0;12.0;23.0;27;444.0;390.0;197.5;2.110;13.61;86970;3549;3948;20.9;74.71;10360;691.1;1058;7.2;8.9;317.8;5643
HE 400 B;155.0;400.0;300.0;13.5;24.0;27;352.0;298.0;197.8;1.927;12.41;57680;2884;3231;17;69.97;10810;721.2;1104;7.3;9.3;361;3817
HE 240 M;157.0;270.0;248.0;18.0;32.0;21;206.0;164.0;199.6;1.460;9.319;24280;1799;2116;11;60.06;8152;657.4;1005;6.3;10.6;626;1151
HE 550 A;166.0;540.0;300.0;12.5;24.0;27;492.0;438.0;211.8;2.209;13.29;111930;4145;4621;22.9;83.71;10810;721.2;1106;7.1;9.2;360.3;7188
HE 450 B;171.0;450.0;300.0;14.0;26.0;27;398.0;344.0;218.0;2.026;11.84;79880;3550;3982;19.1;79.65;11720;781.4;1197;7.3;9.7;447.9;5258
HE 800 AA;172.0;770.0;300.0;14.0;18.0;30;734.0;674.0;218.5;2.660;15.51;208880;5425;6224;30.9;123.8;8133;542.2;856.5;6.1;8.5;243;11450
HE 260 M;172.0;290.0;268.0;18.0;32.5;24;225.0;177.0;219.6;1.575;9.135;31300;2159;2523;11.9;66.89;10440;779.7;1192;6.8;11.1;720.1;1728
HE 300 C;177.0;320.0;305.0;16.0;29.0;27;262.0;208.0;225.1;1.782;10.09;40950;2559;2926;13.4;68.47;13730;900.7;1374;7.8;10.5;604;2903
HE 600 A;178.0;590.0;300.0;13.0;25.0;27;540.0;486.0;226.5;2.308;12.98;141200;4786;5350;24.9;93.2;11270;751.4;1155;7;9.4;406.8;8978
HE 320 C;186.0;340.0;305.0;16.0;30.5;27;279.0;225.0;236.9;1.822;9.795;48710;2865;3274;14.3;72.24;14440;947.2;1445;7.8;10.8;688;3453
HE 500 B;187.0;500.0;300.0;14.5;28.0;27;444.0;390.0;238.6;2.125;11.34;107170;4287;4814;21.1;89.81;12620;841.5;1291;7.2;10.2;548.1;7017
