Section;G [kg/m];h [mm];b [mm];tw [mm];tf [mm];r [mm];hi [mm];d [mm];A [cm2];AL [m2/m];AG [ m2/t];Iy [cm4 ];Wel.y [cm3];Wpl.y [cm3];iy [cm];Avz [cm2];Iz [cm4 ];Wel.z [cm3];Wpl.z [cm3]; iz [cm];Ss [cm];It [cm4 ];Iw [10^3 cm6]
HE 800 x 373;373.0;826.0;308.0;25.0;46.0;30;734.0;674.0;474.6;2.782;7.467;523900;12680;14690;33.2;230.3;22520;1462;2311;6.8;15.2;2553;34070
HE 900 x 391;391.0;922.0;307.0;25.0;46.0;30;830.0;770.0;497.7;2.970;7.602;674340;14620;16990;36.8;254.3;22320;1454;2312;6.6;15.2;2596;42550
HE 1000 x 393;393.0;1016.0;303.0;24.4;43.9;30;928.0;868.0;500.2;3.144;8.006;807680;15890;18530;40.1;271.2;20490;1352;2167;6.4;14.7;2329;48080
HE 600 x 399;399.0;648.0;315.0;30.0;54.0;27;540.0;486.0;508.5;2.450;6.138;344640;10630;12450;26;213.6;28280;1795;2813;7.4;16.9;3933;24810
HE 650 x 407;407.0;696.0;314.0;29.5;54.0;27;588.0;534.0;518.8;2.543;6.244;405420;11650;13610;27.9;224.8;28010;1784;2803;7.3;16.9;3930;28710
HE 1000 x 415;415.0;1020.0;304.0;26.0;46.0;30;928.0;868.0;528.7;3.152;7.595;853120;16720;19570;40.1;288.5;21700;1428;2297;6.4;15.3;2703;51080
HE 700 x 418;418.0;744.0;313.0;29.5;54.0;27;636.0;582.0;531.9;2.635;6.311;472500;12700;14840;29.8;238.9;27760;1773;2796;7.2;16.9;3961;32840
HE 1000 x 438;438.0;1026.0;305.0;26.9;49.0;30;928.0;868.0;556.0;3.167;7.253;909170;17720;20740;40.4;299.9;23350;1531;2462;6.4;16;3181;55290
HE 800 x 444;444.0;842.0;313.0;30.0;54.0;30;734.0;674.0;566.0;2.824;6.356;634470;15070;17630;33.4;276.5;27800;1776;2827;7;17.3;4154;42840
HE 900 x 466;466.0;938.0;312.0;30.0;54.0;30;830.0;770.0;593.7;3.012;6.463;814940;17370;20370;37;305.3;27550;1766;2831;6.8;17.3;4230;53400
HE 1000 x 494;494.0;1036.0;309.0;31.0;54.0;30;928.0;868.0;629.1;3.194;6.467;1027950;19840;23410;40.4;344.5;26820;1736;2818;6.5;17.4;4395;64010
HE 1000 x 584;584.0;1056.0;314.0;36.0;64.0;30;928.0;868.0;743.7;3.244;5.556;1246070;23590;28030;40.9;403.2;33430;2129;3474;6.7;19.9;7153;81240
